,gid,population_cnt,year
724,다사267365,178,2018
725,다사250365,1037,2018
726,다사288370,371,2018
727,다사276366,335,2018
728,다사242369,449,2018
729,다사260346,7,2018
730,다사253327,293,2018
731,다사243334,404,2018
732,다사251328,242,2018
733,다사255324,409,2018
734,다사292362,370,2018
735,다사271341,303,2018
736,다사238337,353,2018
737,다사239332,600,2018
738,다사264345,407,2018
739,다사244365,634,2018
740,다사286363,227,2018
741,다사257373,159,2018
742,다사288368,391,2018
743,다사271343,546,2018
744,다사272341,361,2018
745,다사289370,141,2018
746,다사256354,0,2018
747,다사288364,146,2018
748,다사268337,520,2018
749,다사270354,20,2018
750,다사244361,53,2018
751,다사260319,757,2018
752,다사233322,449,2018
753,다사262310,46,2018
754,다사280350,195,2018
755,다사267351,420,2018
756,다사245311,227,2018
757,다사278365,233,2018
758,다사268357,176,2018
759,다사287364,41,2018
760,다사261346,0,2018
761,다사272352,57,2018
762,다사234321,555,2018
763,다사266339,179,2018
764,다사281352,595,2018
765,다사239333,741,2018
766,다사234322,491,2018
767,다사267368,0,2018
768,다사258367,118,2018
769,다사272350,86,2018
770,다사250307,964,2018
771,다사252326,275,2018
772,다사274347,462,2018
773,다사247327,1068,2018
774,다사265351,360,2018
775,다사288369,323,2018
776,다사239337,711,2018
777,다사244362,518,2018
778,다사263338,494,2018
779,다사248329,230,2018
780,다사268353,118,2018
781,다사239340,8,2018
782,다사264366,49,2018
783,다사280351,451,2018
784,다사263349,116,2018
785,다사252362,277,2018
786,다사283360,996,2018
787,다사266345,23,2018
788,다사279365,261,2018
789,다사251306,235,2018
790,다사293376,180,2018
791,다사249366,530,2018
792,다사244314,0,2018
793,다사272362,343,2018
794,다사249371,0,2018
795,다사248369,322,2018
796,다사253306,52,2018
797,다사246333,233,2018
798,다사241342,255,2018
799,다사245313,219,2018
800,다사268346,268,2018
801,다사249304,562,2018
802,다사250330,622,2018
803,다사252330,63,2018
804,다사264359,273,2018
805,다사255374,0,2018
806,다사241368,560,2018
807,다사241331,74,2018
808,다사268344,470,2018
809,다사266350,376,2018
810,다사288363,157,2018
811,다사264367,497,2018
812,다사249306,493,2018
813,다사247363,122,2018
814,다사272358,117,2018
815,다사244339,526,2018
816,다사291368,214,2018
817,다사280366,0,2018
818,다사287370,514,2018
819,다사292365,1113,2018
820,다사273352,150,2018
821,다사248313,452,2018
822,다사289366,240,2018
823,다사273355,837,2018
824,다사243341,183,2018
825,다사268354,0,2018
826,다사270361,255,2018
827,다사292366,626,2018
828,다사238332,680,2018
829,다사293364,966,2018
830,다사240338,432,2018
831,다사255329,109,2018
832,다사279362,419,2018
833,다사236337,22,2018
834,다사237336,1016,2018
835,다사250310,513,2018
836,다사249336,460,2018
837,다사266349,306,2018
838,다사290369,121,2018
839,다사277353,307,2018
840,다사253316,160,2018
841,다사268339,922,2018
842,다사275353,194,2018
843,다사278348,110,2018
844,다사242339,319,2018
845,다사267356,0,2018
846,다사254363,250,2018
847,다사276363,527,2018
848,다사274345,563,2018
849,다사248365,687,2018
850,다사261353,38,2018
851,다사248363,451,2018
852,다사253305,571,2018
853,다사263369,354,2018
854,다사251302,0,2018
855,다사287360,939,2018
856,다사277355,458,2018
857,다사261323,956,2018
858,다사275359,290,2018
859,다사243342,194,2018
860,다사262347,560,2018
861,다사290368,181,2018
862,다사278350,645,2018
863,다사290365,33,2018
864,다사242362,322,2018
865,다사244317,222,2018
866,다사243313,0,2018
867,다사240339,510,2018
868,다사276361,292,2018
869,다사284363,40,2018
870,다사238334,1090,2018
871,다사285357,836,2018
872,다사237338,44,2018
873,다사284362,375,2018
874,다사257370,89,2018
875,다사288357,484,2018
876,다사255352,0,2018
877,다사243361,122,2018
878,다사269320,347,2018
879,다사270339,449,2018
880,다사262364,348,2018
881,다사271320,430,2018
882,다사267343,215,2018
883,다사259371,373,2018
884,다사263350,72,2018
885,다사276354,56,2018
886,다사251311,482,2018
887,다사280364,319,2018
888,다사249330,465,2018
889,다사242340,544,2018
890,다사243363,369,2018
891,다사246362,865,2018
892,다사260347,314,2018
893,다사277352,613,2018
894,다사263342,231,2018
895,다사267348,73,2018
896,다사274352,182,2018
