,end_nm,base_date,price_per_area,exclusive_area,floor,right_type
329,송도동,2018,540.296,95.8548,40,분
330,송도동,2018,543.536,84.7966,32,분
331,송도동,2018,547.295,84.9999,47,분
332,송도동,2018,536.354,84.9999,20,분
333,송도동,2018,532.097,84.7966,11,분
334,송도동,2018,547.883,84.9999,35,분
335,송도동,2018,539.775,95.8548,38,분
336,송도동,2018,547.295,84.9999,37,분
337,송도동,2018,548.471,84.9999,48,분
338,송도동,2018,536.354,84.9999,13,분
339,송도동,2018,535.765,84.9999,28,분
340,송도동,2018,527.026,84.7966,8,분
341,송도동,2018,544.715,84.7966,40,분
342,송도동,2018,532.097,84.7966,18,분
343,송도동,2018,546.118,84.9999,33,분
344,송도동,2018,546.707,84.9999,44,분
345,송도동,2018,536.942,84.9999,27,분
346,송도동,2018,536.942,84.9999,22,분
347,송도동,2018,545.93,95.8548,37,분
348,송도동,2018,535.765,84.9999,18,분
349,송도동,2018,533.276,84.7966,29,분
350,송도동,2018,538.118,84.9999,18,분
351,송도동,2018,514.589,84.9999,4,분
352,송도동,2018,546.707,84.9999,33,분
353,송도동,2018,525.53,84.9999,6,분
354,송도동,2018,529.029,95.8548,11,분
355,송도동,2018,511.105,84.7966,3,분
356,송도동,2018,554.474,95.8548,46,분
357,송도동,2018,532.097,84.7966,11,분
358,송도동,2018,546.118,84.9999,44,분
359,송도동,2018,525.251,84.8166,13,분
360,송도동,2018,547.883,84.9999,49,분
361,송도동,2018,535.765,84.9999,19,분
362,송도동,2018,504.471,84.9999,2,분
363,송도동,2018,529.029,95.8548,21,분
364,송도동,2018,527.089,95.8548,24,분
365,송도동,2018,543.536,84.7966,38,분
366,송도동,2018,546.118,84.9999,38,분
367,송도동,2018,536.354,84.9999,20,분
368,송도동,2018,542.357,84.7966,42,분
369,송도동,2018,538.118,84.9999,22,분
370,송도동,2018,541.548,95.8548,28,분
371,송도동,2018,547.295,84.9999,44,분
372,송도동,2018,515.177,84.9999,3,분
373,송도동,2018,535.765,84.9999,17,분
374,송도동,2018,530.073,95.8548,21,분
375,송도동,2018,541.648,84.9999,19,분
376,송도동,2018,546.707,84.9999,46,분
377,송도동,2018,536.942,84.9999,20,분
378,송도동,2018,548.471,84.9999,38,분
379,송도동,2018,551.707,84.9999,37,분
380,송도동,2018,547.295,84.9999,34,분
381,송도동,2018,535.765,84.9999,19,분
382,송도동,2018,547.295,84.9999,36,분
383,송도동,2018,536.541,95.8548,33,분
384,송도동,2018,529.551,95.8548,15,분
385,송도동,2018,530.073,95.8548,24,분
386,송도동,2018,536.942,84.9999,30,분
387,송도동,2018,547.295,84.9999,39,분
388,송도동,2018,539.775,95.8548,44,분
389,송도동,2018,494.589,84.9999,1,분
390,송도동,2018,547.295,84.9999,40,분
391,송도동,2018,536.942,84.9999,27,분
392,송도동,2018,542.818,84.8166,37,분
393,송도동,2018,529.029,95.8548,29,분
394,송도동,2018,535.177,84.9999,13,분
395,송도동,2018,546.118,84.9999,31,분
396,송도동,2018,526.412,84.9999,5,분
397,송도동,2018,539.775,95.8548,33,분
398,송도동,2018,550.824,84.9999,45,분
399,송도동,2018,535.765,84.9999,16,분
400,송도동,2018,536.942,84.9999,26,분
401,송도동,2018,536.452,84.8166,41,분
402,송도동,2018,543.374,95.8548,38,분
403,송도동,2018,548.471,84.9999,31,분
404,송도동,2018,511.695,84.7966,3,분
405,송도동,2018,530.707,84.9999,8,분
406,송도동,2018,548.471,84.9999,43,분
407,송도동,2018,535.765,84.9999,18,분
408,송도동,2018,546.707,84.9999,43,분
409,송도동,2018,543.155,95.8548,16,분
410,송도동,2018,549.648,84.9999,44,분
411,송도동,2018,536.354,84.9999,14,분
412,송도동,2018,533.276,84.7966,15,분
413,송도동,2018,510.236,84.9999,4,분
414,송도동,2018,524.942,84.9999,7,분
415,송도동,2018,535.765,84.9999,18,분
416,송도동,2018,548.471,84.9999,43,분
417,송도동,2018,524.118,84.9999,22,분
418,송도동,2018,558.177,84.9999,33,분
419,송도동,2018,546.118,84.9999,37,분
420,송도동,2018,535.765,84.9999,10,분
421,송도동,2018,526.135,84.8166,26,분
422,송도동,2018,525.53,84.9999,5,분
423,송도동,2018,542.236,84.9999,24,분
424,송도동,2018,504.048,84.9999,2,분
425,송도동,2018,546.118,84.9999,33,분
426,송도동,2018,530.118,84.9999,8,분
427,송도동,2018,547.295,84.9999,36,분
428,송도동,2018,543.401,84.9999,10,분
429,송도동,2018,529.551,95.8548,15,분
430,송도동,2018,542.53,84.9999,14,분
431,송도동,2018,530.073,95.8548,14,분
432,송도동,2018,535.765,84.9999,23,분
433,송도동,2018,535.765,84.9999,10,분
434,송도동,2018,529.029,95.8548,19,분
435,송도동,2018,535.765,84.9999,23,분
436,송도동,2018,535.967,95.8548,24,분
437,송도동,2018,536.019,95.8548,35,분
438,송도동,2018,498.045,95.8548,2,분
439,송도동,2018,549.786,84.7966,46,분
440,송도동,2018,524.942,84.9999,5,분
441,송도동,2018,515.471,84.9999,3,분
442,송도동,2018,546.707,84.9999,35,분
443,송도동,2018,494.589,84.9999,1,분
444,송도동,2018,536.942,84.9999,26,분
445,송도동,2018,543.536,84.7966,39,분
446,송도동,2018,536.354,84.9999,15,분
447,송도동,2018,548.471,84.9999,44,분
448,송도동,2018,536.354,84.9999,11,분
