,end_nm,base_date,deposit_per_area,exclusive_area,cnstr_year,floor,type
251,송도동,2018,392.89871944121074,68.72,2017,35.0,아파트
252,송도동,2018,317.8714386625854,84.94,2017,20.0,아파트
253,송도동,2018,353.19048740287263,84.94,2017,6.0,아파트
254,송도동,2018,58.89281507656066,84.9,2017,16.0,아파트
255,송도동,2018,294.4640753828033,84.9,2017,15.0,아파트
256,송도동,2018,353.3568904593639,84.9,2017,9.0,아파트
257,송도동,2018,349.2433061699651,68.72,2017,24.0,아파트
258,송도동,2018,412.2497055359246,84.9,2017,22.0,아파트
259,송도동,2018,353.3568904593639,84.9,2017,19.0,아파트
260,송도동,2018,508.8823094004441,108.08,2017,17.0,아파트
261,송도동,2018,364.9635036496351,84.94,2017,38.0,아파트
262,송도동,2018,363.7951105937136,68.72,2017,21.0,아파트
263,송도동,2018,377.0301624129931,68.96,2017,24.0,아파트
264,송도동,2018,365.0777093981433,95.87,2017,4.0,아파트
265,송도동,2018,388.5095361431599,84.94,2017,28.0,아파트
266,송도동,2018,317.8714386625854,84.94,2017,33.0,아파트
267,송도동,2018,323.55703997495044,95.81,2017,36.0,아파트
268,송도동,2018,312.92375091269423,95.87,2017,16.0,아파트
269,송도동,2018,318.02120141342755,84.9,2017,23.0,아파트
270,송도동,2018,376.91401648998817,84.9,2017,30.0,아파트
271,송도동,2018,341.5783274440518,84.9,2017,2.0,아파트
272,송도동,2018,353.3568904593639,84.9,2017,3.0,아파트
273,송도동,2018,329.79976442873965,84.9,2017,12.0,아파트
274,송도동,2018,388.69257950530033,84.9,2017,28.0,아파트
275,송도동,2018,417.4929548063876,95.81,2017,35.0,아파트
276,송도동,2018,341.5783274440518,84.9,2017,29.0,아파트
277,송도동,2018,376.91401648998817,84.9,2017,21.0,아파트
278,송도동,2018,377.0301624129931,68.96,2017,35.0,아파트
279,송도동,2018,416.3582531458179,108.08,2017,17.0,아파트
280,송도동,2018,435.0348027842228,68.96,2017,31.0,아파트
281,송도동,2018,318.02120141342755,84.9,2017,29.0,아파트
282,송도동,2018,365.3063354555892,95.81,2017,34.0,아파트
283,송도동,2018,329.79976442873965,84.9,2017,22.0,아파트
284,송도동,2018,282.5523899222981,84.94,2017,23.0,아파트
285,송도동,2018,384.03740190348975,59.89,2017,3.0,아파트
286,송도동,2018,306.2426383981154,84.9,2017,37.0,아파트
287,송도동,2018,353.3568904593639,84.9,2017,17.0,아파트
288,송도동,2018,353.3568904593639,84.9,2017,32.0,아파트
289,송도동,2018,349.2433061699651,68.72,2017,18.0,아파트
290,송도동,2018,294.4640753828033,84.9,2017,13.0,아파트
291,송도동,2018,350.6428452162298,59.89,2017,8.0,아파트
292,송도동,2018,384.03740190348975,59.89,2017,28.0,아파트
293,송도동,2018,383.461153717906,59.98,2017,25.0,아파트
294,송도동,2018,383.461153717906,59.98,2017,8.0,아파트
295,송도동,2018,383.461153717906,59.98,2017,23.0,아파트
296,송도동,2018,294.4640753828033,84.9,2017,4.0,아파트
297,송도동,2018,294.4640753828033,84.9,2017,29.0,아파트
298,송도동,2018,412.2497055359246,84.9,2017,37.0,아파트
299,송도동,2018,367.34012355985976,59.89,2017,13.0,아파트
300,송도동,2018,353.3568904593639,84.9,2017,15.0,아파트
301,송도동,2018,341.5783274440518,84.9,2017,20.0,아파트
302,송도동,2018,376.91401648998817,84.9,2017,2.0,아파트
303,송도동,2018,306.2426383981154,84.9,2017,5.0,아파트
304,송도동,2018,400.13337779259757,59.98,2017,19.0,아파트
305,송도동,2018,392.89871944121074,68.72,2017,19.0,아파트
306,송도동,2018,383.461153717906,59.98,2017,22.0,아파트
307,송도동,2018,417.43195859074973,59.89,2017,20.0,아파트
308,송도동,2018,363.7951105937136,68.72,2017,29.0,아파트
309,송도동,2018,353.3568904593639,84.9,2017,20.0,아파트
310,송도동,2018,329.79976442873965,84.9,2017,4.0,아파트
311,송도동,2018,416.8056018672891,59.98,2017,36.0,아파트
312,송도동,2018,376.91401648998817,84.9,2017,8.0,아파트
313,송도동,2018,466.8222740913638,59.98,2017,34.0,아파트
314,송도동,2018,467.52379362163964,59.89,2017,37.0,아파트
315,송도동,2018,444.1154700222058,108.08,2017,25.0,아파트
316,송도동,2018,400.73468024711974,59.89,2017,7.0,아파트
317,송도동,2018,312.92375091269423,95.87,2017,20.0,아파트
318,송도동,2018,362.52900232018567,68.96,2017,12.0,아파트
319,송도동,2018,450.15005001667225,59.98,2017,39.0,아파트
320,송도동,2018,391.5313225058005,68.96,2017,27.0,아파트
321,송도동,2018,417.43195859074973,59.89,2017,15.0,아파트
322,송도동,2018,434.1292369343797,59.89,2017,32.0,아파트
323,송도동,2018,434.1292369343797,59.89,2017,32.0,아파트
324,송도동,2018,441.81393797932645,59.98,2017,14.0,아파트
325,송도동,2018,362.52900232018567,68.96,2017,42.0,아파트
326,송도동,2018,365.3063354555892,95.81,2017,23.0,아파트
327,송도동,2018,422.0023282887078,68.72,2017,16.0,아파트
328,송도동,2018,367.34012355985976,59.89,2017,28.0,아파트
329,송도동,2018,367.34012355985976,59.89,2017,14.0,아파트
330,송도동,2018,350.11670556852283,59.98,2017,20.0,아파트
331,송도동,2018,400.13337779259757,59.98,2017,11.0,아파트
332,송도동,2018,362.52900232018567,68.96,2017,34.0,아파트
333,송도동,2018,320.139697322468,68.72,2017,9.0,아파트
334,송도동,2018,333.4444814938313,59.98,2017,10.0,아파트
335,송도동,2018,353.3568904593639,84.9,2017,41.0,아파트
336,송도동,2018,400.13337779259757,59.98,2017,13.0,아파트
337,송도동,2018,382.8032979976443,84.9,2017,20.0,아파트
338,송도동,2018,353.19048740287263,84.94,2017,33.0,아파트
339,송도동,2018,294.4640753828033,84.9,2017,33.0,아파트
340,송도동,2018,400.47114252061243,84.9,2017,31.0,아파트
341,송도동,2018,341.4174711561102,84.94,2017,32.0,아파트
342,송도동,2018,416.8056018672891,59.98,2017,29.0,아파트
343,송도동,2018,353.3568904593639,84.9,2017,21.0,아파트
344,송도동,2018,383.461153717906,59.98,2017,39.0,아파트
345,송도동,2018,376.91401648998817,84.9,2017,7.0,아파트
346,송도동,2018,334.69150174621655,68.72,2017,12.0,아파트
347,송도동,2018,398.7819025522042,68.96,2017,21.0,아파트
348,송도동,2018,376.73651989639745,84.94,2017,31.0,아파트
349,송도동,2018,400.73468024711974,59.89,2017,29.0,아파트
350,송도동,2018,436.55413271245635,68.72,2017,12.0,아파트
351,송도동,2018,353.3568904593639,84.9,2017,43.0,아파트
352,송도동,2018,333.7853343068739,95.87,2017,9.0,아파트
353,송도동,2018,417.43195859074973,59.89,2017,32.0,아파트
354,송도동,2018,392.89871944121074,68.72,2017,37.0,아파트
355,송도동,2018,417.43195859074973,59.89,2017,34.0,아파트
356,송도동,2018,362.52900232018567,68.96,2017,36.0,아파트
357,송도동,2018,406.80087618650253,95.87,2017,11.0,아파트
358,송도동,2018,417.43195859074973,59.89,2017,12.0,아파트
359,송도동,2018,333.4444814938313,59.98,2017,9.0,아파트
360,송도동,2018,400.47114252061243,84.9,2017,25.0,아파트
361,송도동,2018,407.4505238649593,68.72,2017,15.0,아파트
362,송도동,2018,412.2497055359246,84.9,2017,8.0,아파트
363,송도동,2018,417.4929548063876,95.81,2017,26.0,아파트
364,송도동,2018,376.91401648998817,84.9,2017,39.0,아파트
365,송도동,2018,412.2497055359246,84.9,2017,22.0,아파트
366,송도동,2018,365.0777093981433,95.87,2017,38.0,아파트
367,송도동,2018,435.6016011302096,84.94,2017,14.0,아파트
368,송도동,2018,400.13337779259757,59.98,2017,4.0,아파트
